index;title;year;rating;votes;runtime;genre;Awards
227;Kill Bill: Vol. 1;2003;8,2;506053;111;Action;0
228;Rush Hour 2;2001;6,5;125336;90;Action;1
229;Spy Game;2001;7;100852;126;Action;1
230;Adaptation.;2002;7,8;117234;114;Comedy;0
231;Ice Age;2002;7,6;232009;81;Animation;0
232;About a Boy;2002;7,1;118731;101;Comedy;1
233;Once Upon a Time in Mexico;2003;6,4;106116;102;Action;0
234;Hulk;2003;5,7;162740;138;Action;1
235;Daredevil;2003;5,4;133471;103;Action;0
236;Meet the Fockers;2004;6,3;167275;115;Comedy;0
237;X-Men 2;2003;7,5;283394;133;Action;0
238;The Transporter;2002;6,8;179541;92;Action;0
239;Austin Powers in Goldmember;2002;6,2;132448;94;Action;0
240;Harry Potter and the Chamber of Secrets;2002;7,3;284412;161;Adventure;0
241;xXx;2002;5,8;116673;124;Action;0
242;The Chronicles of Riddick;2004;6,7;149184;119;Action;1
243;Shrek 2;2004;7,3;226472;93;Animation;0
244;Chicago;2002;7,2;138736;113;Comedy;0
245;Old School;2003;7,2;158258;91;Comedy;0
246;Harry Potter and the Prisoner of Azkaban;2004;7,8;279347;142;Adventure;1
247;Anger Management;2003;6,2;141065;106;Comedy;0
248;Shark Tale;2004;6;102558;90;Animation;1
249;Master and Commander: The Far Side of the World;2003;7,4;140120;138;Action;0
250;The League of Extraordinary Gentlemen;2003;5,8;108276;110;Action;0
251;Love Actually;2003;7,7;244505;135;Comedy;1
252;Bruce Almighty;2003;6,7;217140;101;Comedy;1
253;Spider-Man 2;2004;7,4;275224;127;Action;0
254;Cars;2006;7,3;168841;117;Animation;1
255;The Italian Job;2003;7;224597;111;Action;1
256;Mission: Impossible III;2006;6,8;184806;126;Action;0
257;Resident Evil: Apocalypse;2004;6,1;122823;94;Action;0
258;Big Fish;2003;8;295867;125;Adventure;1
259;The Day After Tomorrow;2004;6,4;245978;124;Action;1
260;Elf;2003;6,9;109149;97;Comedy;1
261;Kingdom of Heaven;2005;7,2;164908;144;Action;1
262;Underworld;2003;7;163653;121;Action;1
263;2 Fast 2 Furious;2003;5,6;124488;107;Action;1
264;The Last Samurai;2003;7,7;241419;154;Action;1
265;Pirates of the Caribbean: The Curse of the Black Pearl;2003;8,1;571506;143;Action;0
266;Coraline;2009;7,7;110199;100;Animation;1
267;Man on Fire;2004;7,8;205437;146;Action;1
268;American Wedding;2003;6,2;128245;96;Comedy;0
269;Harry Potter and the Goblet of Fire;2005;7,6;284052;157;Adventure;0
270;School of Rock;2003;7,1;155951;108;Comedy;0
271;Troy;2004;7,2;274525;163;Adventure;1
272;Garden State;2004;7,7;164838;102;Comedy;0
273;Starsky & Hutch;2004;6,1;101718;101;Comedy;1
274;Live Free or Die Hard;2007;7,3;278271;128;Action;1
275;Lemony Snicket's A Series of Unfortunate Events;2004;6,8;124794;108;Adventure;1
276;50 First Dates;2004;6,8;202178;99;Comedy;1
277;Alexander;2004;5,5;114519;175;Action;1
